Unnamed: 0,username,bio,profile_url,location,website
0,vpindia,"official twitter account of the vice president of india, shri jagdeep dhankhar.",https://twitter.com/VPIndia,"new delhi, india",https://t.co/1u25beBv9x
1,vp,vice president of the united states. wife to the first @secondgentleman. momala. auntie. fighting for the people.,https://twitter.com/VP,,https://t.co/vbwTCDuFie
2,madam_president,a project of @emilyslist with the goal of electing @kamalaharris as the first woman vice president of the united states.,https://twitter.com/Madam_President,,https://t.co/woVJokZGQb
3,jessica_alupo,"2nd female vice president of the republic of uganda,mp, wife, proud mother and committed servant of the people.",https://twitter.com/jessica_alupo,"kampala, uganda",https://t.co/g327WBeX24
4,potus,"46th president of the united states, husband to @flotus, proud dad & pop. tweets may be archived: https://t.co/hdhbzbkkpu
text me: (302) 404-0880",https://twitter.com/POTUS,,https://t.co/MzB1JWfbJ0
5,mike_pence,"husband, father, 48th vice president of the united states 🇺🇸",https://twitter.com/Mike_Pence,,
6,viceprespppp,vice president pppp senator sherry rehman. parliamentary party leader of ppp and former leader of opposition in senate. former amb to us and fed min information,https://twitter.com/VicePresPPPP,,
7,mbawumia,"official twitter account of dr. mahamudu bawumia, vice president of the republic of ghana.",https://twitter.com/MBawumia,ghana,https://t.co/f6NVmv7Iup
8,ghanapresidency,"official twitter handle for the office of the president of the republic of ghana, managed by the jubilee house communications bureau.",https://twitter.com/GhanaPresidency,,https://t.co/IPuLTxXM4B
9,georgeweahoff,president of the republic of liberia.,https://twitter.com/GeorgeWeahOff,libéria,https://t.co/tMspysfbDB
10,clickmanteaw,"executive assistant, office of the president jubilee house kanda, accra - ghana | founder of the hope campaign https://t.co/g9jvvphtqs",https://twitter.com/Clickmanteaw,"akropong, akuapem",https://t.co/vExflYiFvk
11,royaltcafe2012,"executive assistant & head of social media,office of the president, jubilee house | operations director, young patriots | operations director, let my vote count",https://twitter.com/royaltcafe2012,"accra, ghana",https://t.co/3DxXNTdOZb
12,vppilipinas,the official twitter account of the office of the vice president of the philippines,https://twitter.com/VPPilipinas,national capital region,https://t.co/8EKtamalG0
13,faisalnasym,vice president of the republic of maldives,https://twitter.com/FaisalNasym,maldives,https://t.co/ZbMH8DisGp
14,1vicepresident,first vice president of azerbaijan mehriban aliyeva,https://twitter.com/1VicePresident,baku,https://t.co/jVzgPGpNQ7
15,madhukeshwar,"ceo, mcia | national vice president, bjp youth wing | vice president msba | lawyer | tech junkie | petrol head | wanderlust | nanos gigantum humeris insidentes",https://twitter.com/Madhukeshwar,india ,https://t.co/RABeug4AcO
16,icann_president,president and ceo of icann,https://twitter.com/icann_president,,https://t.co/Hq9pXMXVg0
17,mvenkaiahnaidu,former vice president of india.,https://twitter.com/MVenkaiahNaidu,new delhi,
18,omarabdullah,vice president @jknc_ tweets are my own. fb page - abdullah_omar instagram page - omar_abdullah_jk mastodon @omar_abdullah@toot.community,https://twitter.com/OmarAbdullah,"srinagar, jammu, delhi",
19,lenirobredo,"human rights lawyer. mother of aika, tricia and jillian. jesse's wife. public servant. 14th vice president of the philippines.",https://twitter.com/lenirobredo,philippines,
20,vasundharabjp,official twitter account of bjp national vice-president | former chief minister of rajasthan (demitted office on 11th december 2018),https://twitter.com/VasundharaBJP,,https://t.co/lbFxiQXfPY
21,erictrump,executive vice president of the @trump organization. husband to @laraleatrump. large advocate of @stjude children's hospital @trumpwinery #makeamericagreatagain,https://twitter.com/EricTrump,"florida, usa",https://t.co/7O1fX0uSVC
22,agentm,"vice president & creative executive, @marvel digital media. podcaster, host, cameos in marvel stuff i guess? personal account! he/him",https://twitter.com/AgentM,nyc,https://t.co/Pkvh2UnMLN
