Unnamed: 0,username,bio,profile_url,location,website
2171,ashokepandit,Indian Filmmaker (Producer - #TheChargesheet on @Zee5India) | Social Activist | Conservationist | @instagram - ashokepandit1,https://twitter.com/ashokepandit,Mumbai,https://en.wikipedia.org/wiki/Ashoke_Pandit
2172,zahacktanvir,Saudi-based 🇸🇦Indian 🇮🇳 | MS in AI @LJMU 🇬🇧 | Counterterrorism @UniLeiden 🇳🇱 | Founder & Director @MilliChronicle 🇬🇧 | Bylines @CNNnews18 @FirstPost,https://twitter.com/zahacktanvir,Kingdom of Saudi Arabia,https://www.firstpost.com/author/zahack-tanvir
2173,gyanjarahatke,This is an official account of gyanjarahatke @YouTube channel. Aim: Knowledgeable content in simple language with a touch of humor. So follow us for that 🙏,https://twitter.com/gyanjarahatke,India,http://youtube.com/@GyanJaraHatke
2174,realbassemeid,I am a Palestinian peace activist and the founder of the Jerusalem-based Palestinian Human Rights Monitoring Group. #BDSisBS,https://twitter.com/realbassemeid,Jerusalem,http://Bassemeid.com
2175,tokstarr,"Public Figure.
🇳🇬/🇬🇧/🇺🇸
BabyGirl 4 Life 
Media Girl - Radio, Television, YouTube.
Actor.
Influencer.
Entrepreneur.
Bookings - Contact@thetokemakinwa.com",https://twitter.com/tokstarr,"Lagos, Nigeria.",https://linktr.ee/Tokemakinwa
2176,drsangitareddy,"Joint Managing Director - Apollo Hospitals Group, Past President -  FICCI , Chair - G20 Empower India",https://twitter.com/drsangitareddy,Hyderabad,http://www.drsangitareddy.com
2177,karthi_offl,Actor | @UzhavanFDN,https://twitter.com/Karthi_Offl,"Chennai, India",https://instagram.com/uzhavanfdn
2178,naveenc212,Actor,https://twitter.com/Naveenc212,Hyderabad,
2179,pradeeponelife,"Director,Writer of #Comali ; Director, Writer ,Actor of #LoveToday ; You made me what I am",https://twitter.com/pradeeponelife,chennai,
2180,shkhrasheed,Ex Federal Minister for Interior. Gov of Pakistan.President/Founder Awami Muslim League.Author of Farzande Pakistan & Lal Haveli Say Aqwame Muthida Tak.,https://twitter.com/ShkhRasheed,islamabad,http://www.aml.org.pk
2181,arhuml92,known for my political tweets and fashion style. Founder MQM (Memon Quami Movement),https://twitter.com/arhuml92,"Karachi, Pakistan",http://instagram.com/arhuml92
2182,ikamalhaasan,"Film buff,Actor, Director, Dancer, Writer, Producer above all,  a neo-polityculturist",https://twitter.com/ikamalhaasan,"Chennai, India",
2183,sooriofficial,Actor,https://twitter.com/sooriofficial,"Chennai, India",
